dictionary,page_id,record_index,line_index,marker,status,start,end,primary_language,language_distribution,source_ranges,normalized_value,value
Circassian-English-Turkish,page_1,6,34,ph,exact,390,397,Circassian-Latin,Circassian-Latin:7,390:397,árzárár,árzárár
Circassian-English-Turkish,page_1,6,35,ge,exact,369,375,English-Latin,English-Latin:6,369:375,absurd,Absurd
Circassian-English-Turkish,page_1,6,36,ps,exact,471,472,English-Latin,English-Latin:1,471:472,a,a
Circassian-English-Turkish,page_1,6,37,gn,exact,400,405,Turkish-Arabic,Turkish-Arabic:5,400:405,دادسز,دادسز
Circassian-English-Turkish,page_1,7,38,lx,exact,421,434,Circassian-Arabic,Circassian-Arabic:12,421:434,قابوُلوُ صوغا,قابوُلوُ صوغا
Circassian-English-Turkish,page_1,7,39,ph,exact,435,450,Circassian-Latin,Circassian-Latin:14,435:450,kábooloo tzoġhá,kábooloo tzoġhá
Circassian-English-Turkish,page_1,7,40,ge,exact,406,412,English-Latin,English-Latin:6,406:412,accept,Accept
Circassian-English-Turkish,page_1,7,41,ps,exact,476,479,English-Latin,English-Latin:2,476:479,v.a,v.a
Circassian-English-Turkish,page_1,7,42,gn,exact,453,462,Turkish-Arabic,Turkish-Arabic:8,453:462,قبول اتمك,قبول اتمك
Circassian-English-Turkish,page_1,8,43,lx,exact,513,522,Circassian-Arabic,Circassian-Arabic:8,513:522,یِه زِگِه,یِه زِگِه
Circassian-English-Turkish,page_1,8,44,ph,exact,523,533,Circassian-Latin,Circassian-Latin:10,523:533,yeyzeyghey,yeyzeyghey
Circassian-English-Turkish,page_1,8,45,ge,exact,463,474,English-Latin,English-Latin:11,463:474,accommodate,Accommodate
Circassian-English-Turkish,page_1,8,46,ps,exact,554,557,English-Latin,English-Latin:2,554:557,v.a,v.a
Circassian-English-Turkish,page_1,8,47,de,compact,481,509,English-Latin,English-Latin:23,481:509,one's self to circumstances,one's self to circumstances
Circassian-English-Turkish,page_1,8,48,gn,exact,536,541,Turkish-Arabic,Turkish-Arabic:5,536:541,یقشمق,یقشمق
Circassian-English-Turkish,page_1,9,49,lx,exact,561,569,Circassian-Arabic,Circassian-Arabic:8,561:569,اُوشُوهن,اُوشُوهن
Circassian-English-Turkish,page_1,9,50,ph,exact,570,579,Circassian-Latin,Circassian-Latin:9,570:579,oohshoohn,oohshoohn
Circassian-English-Turkish,page_1,9,51,ge,exact,542,552,English-Latin,English-Latin:10,542:552,accomplish,Accomplish
Circassian-English-Turkish,page_1,9,52,ps,exact,598,601,English-Latin,English-Latin:2,598:601,v.a,v.a
Circassian-English-Turkish,page_1,9,53,gn,exact,582,588,Turkish-Arabic,Turkish-Arabic:6,582:588,بنورمك,بنورمك
Circassian-English-Turkish,page_1,10,54,lx,exact,605,616,Circassian-Arabic,Circassian-Arabic:10,605:616,هیسابی شوغا,هیسابی شوغا
Circassian-English-Turkish,page_1,10,55,ph,exact,618,633,Circassian-Latin,Circassian-Latin:14,618:633,heesábee shóġha,heesábee shóġha
Circassian-English-Turkish,page_1,10,56,ge,exact,589,596,English-Latin,English-Latin:7,589:596,account,Account
Circassian-English-Turkish,page_1,10,57,ps,exact,657,660,English-Latin,English-Latin:2,657:660,v.a,v.a
Circassian-English-Turkish,page_1,10,58,gn,exact,637,646,Turkish-Arabic,Turkish-Arabic:8,637:646,حساب اتمك,حساب اتمك
Circassian-English-Turkish,page_1,11,59,lx,exact,664,670,Circassian-Arabic,Circassian-Arabic:6,664:670,یِهسِن,یِهسِن
Circassian-English-Turkish,page_1,11,60,ph,exact,671,677,Circassian-Latin,Circassian-Latin:6,671:677,yéhsén,yéhsén
Circassian-English-Turkish,page_1,11,61,ge,exact,647,655,English-Latin,English-Latin:8,647:655,accustom,Accustom
Circassian-English-Turkish,page_1,11,62,ps,exact,1024,1027,English-Latin,English-Latin:2,1024:1027,v.a,v.a
Circassian-English-Turkish,page_1,11,63,gn,exact,680,686,Turkish-Arabic,Turkish-Arabic:6,680:686,الشتمق,الشتمق
Circassian-English-Turkish,page_1,12,64,lx,exact,711,723,Circassian-Arabic,Circassian-Arabic:11,711:723,مویْ اوزِْزه,مویْ اوزِْزه
Circassian-English-Turkish,page_1,12,65,va,exact,726,739,Circassian-Arabic,Circassian-Arabic:11,726:739,وَاط وِی غُوآ,وَاط وِی غُوآ
Circassian-English-Turkish,page_1,12,66,ph,exact,740,765,Circassian-Latin,Circassian-Latin:19,740:765,mouy ûz-zey; wát-we ġhooá,"mouy ûz-zey, wát-we ġhooá"
Circassian-English-Turkish,page_1,12,67,ge,exact,687,691,English-Latin,English-Latin:4,687:691,ache,Ache
Circassian-English-Turkish,page_1,12,68,ps,exact,1071,1072,Circassian-Latin,Circassian-Latin:1,1071:1072,s,s
Circassian-English-Turkish,page_1,12,69,de,exact,696,707,English-Latin,English-Latin:9,696:707,pain; smart,"pain, smart"
Circassian-English-Turkish,page_1,12,70,gn,exact,768,778,Turkish-Arabic,Turkish-Arabic:7,768:778,اغری — اجی,اغری — اجی
Circassian-English-Turkish,page_1,13,71,lx,exact,798,808,Circassian-Arabic,Circassian-Arabic:9,798:808,سوات شِیدا,سوات شِیدا
Circassian-English-Turkish,page_1,13,72,ph,exact,809,819,Circassian-Latin,Circassian-Latin:10,809:819,soátsheedá,soátsheedá
Circassian-English-Turkish,page_1,13,73,ge,exact,779,791,English-Latin,English-Latin:12,779:791,acquaintance,Acquaintance
Circassian-English-Turkish,page_1,13,74,ps,exact,1097,1098,English-Latin,English-Latin:1,1097:1098,s,s
Circassian-English-Turkish,page_1,13,75,gn,exact,822,828,Turkish-Arabic,Turkish-Arabic:6,822:828,اشنالق,اشنالق
Circassian-English-Turkish,page_1,14,76,lx,exact,852,860,Circassian-Arabic,Circassian-Arabic:8,852:860,بوُطْطِه,بوُطْطِه
Circassian-English-Turkish,page_1,14,77,ph,exact,861,868,Circassian-Latin,Circassian-Latin:7,861:868,boottéy,boottéy
Circassian-English-Turkish,page_1,14,78,ge,exact,829,835,English-Latin,English-Latin:6,829:835,across,Across
Circassian-English-Turkish,page_1,14,79,ps,exact,1135,1137,English-Latin,English-Latin:2,1135:1137,ad,ad
Circassian-English-Turkish,page_1,14,80,de,exact,841,848,English-Latin,English-Latin:7,841:848,athwart,athwart
Circassian-English-Turkish,page_1,14,81,gn,exact,871,875,Turkish-Arabic,Turkish-Arabic:4,871:875,اكری,اكری
Circassian-English-Turkish,page_1,15,82,lx,exact,902,908,Circassian-Arabic,Circassian-Arabic:5,902:908,ناه شه,ناه شه
Circassian-English-Turkish,page_1,15,83,ph,exact,909,916,Circassian-Latin,Circassian-Latin:7,909:916,náhshey,náhshey
Circassian-English-Turkish,page_1,15,84,ge,exact,829,835,English-Latin,English-Latin:6,829:835,across,Across
Circassian-English-Turkish,page_1,15,85,ps,exact,837,839,English-Latin,English-Latin:2,837:839,ad,ad
Circassian-English-Turkish,page_1,15,86,de,compact,888,898,English-Latin,English-Latin:9,888:898,obliquely,obliquely
Circassian-English-Turkish,page_1,15,87,gn,exact,919,925,Turkish-Arabic,Turkish-Arabic:6,919:925,ارقوری,ارقوری
Circassian-English-Turkish,page_1,16,88,lx,exact,954,973,Circassian-Arabic,Circassian-Arabic:18,954:973,طشِیطله اُوقُودشُوق,طشِیطله اُوقُودشُوق
Circassian-English-Turkish,page_1,16,89,ph,exact,974,994,Circassian-Latin,Circassian-Latin:19,974:994,tshítley ookoodshook,tshítley ookoodshook
Circassian-English-Turkish,page_1,16,90,ge,exact,926,933,English-Latin,English-Latin:7,926:933,address,Address
Circassian-English-Turkish,page_1,16,91,ps,exact,1139,1140,English-Latin,English-Latin:1,1139:1140,s,s
Circassian-English-Turkish,page_1,16,92,de,compact,938,950,English-Latin,English-Latin:10,938:950,a direction,a direction
Circassian-English-Turkish,page_1,16,93,gn,exact,997,1016,Turkish-Arabic,Turkish-Arabic:15,997:1016,عنوان — مكتوب اوستی,عنوان — مكتوب اوستی
Circassian-English-Turkish,page_1,17,94,lx,exact,1041,1056,Circassian-Arabic,Circassian-Arabic:15,1041:1056,اُوغابُزِینِیشط,اُوغابُزِینِیشط
Circassian-English-Turkish,page_1,17,95,ph,exact,1058,1074,Circassian-Latin,Circassian-Latin:15,1058:1074,ooġhábzee-neesht,ooġhábzee-neesht
Circassian-English-Turkish,page_1,17,96,ge,exact,1017,1022,English-Latin,English-Latin:5,1017:1022,adorn,Adorn
Circassian-English-Turkish,page_1,17,97,ps,exact,1143,1146,English-Latin,English-Latin:2,1143:1146,v.a,v.a
Circassian-English-Turkish,page_1,17,98,de,exact,1029,1037,English-Latin,English-Latin:7,1029:1037,to clean,to clean
Circassian-English-Turkish,page_1,17,99,gn,exact,1078,1085,Turkish-Arabic,Turkish-Arabic:7,1078:1085,تمیزلمك,تمیزلمك
Circassian-English-Turkish,page_1,18,100,lx,exact,1102,1113,Circassian-Arabic,Circassian-Arabic:10,1102:1113,فایدَا صوغا,فایدَا صوغا
Circassian-English-Turkish,page_1,18,101,ph,exact,1114,1126,Circassian-Latin,Circassian-Latin:11,1114:1126,fáïdá tsoġhá,fáïdá tsoġhá
Circassian-English-Turkish,page_1,18,102,ge,exact,1086,1095,English-Latin,English-Latin:9,1086:1095,advantage,Advantage
Circassian-English-Turkish,page_1,18,103,ps,exact,1169,1170,Circassian-Latin,Circassian-Latin:1,1169:1170,s,s
Circassian-English-Turkish,page_1,18,104,gn,exact,1129,1134,Turkish-Arabic,Turkish-Arabic:5,1129:1134,فایدا,فایدا
Circassian-English-Turkish,page_1,19,105,lx,exact,1150,1164,Circassian-Arabic,Circassian-Arabic:13,1150:1164,داشِی یِزْواوخ,داشِی یِزْواوخ
Circassian-English-Turkish,page_1,19,106,ph,exact,1166,1182,Circassian-Latin,Circassian-Latin:14,1166:1182,dáhshee yez-wókh,dáhshee yez-wókh
Circassian-English-Turkish,page_1,19,107,ge,exact,1135,1141,English-Latin,English-Latin:6,1135:1141,advise,Advise
Circassian-English-Turkish,page_1,19,108,ps,exact,246,249,English-Latin,English-Latin:2,246:249,v.a,v.a
Circassian-English-Turkish,page_1,19,109,gn,exact,1186,1197,Turkish-Arabic,Turkish-Arabic:10,1186:1197,نصیحت ویرمك,نصیحت ویرمك
Efik-English,page_13,0,0,lx,exact,51,57,Efik,Efik:4,51:57,dïm'-e,DÏM'-E
Efik-English,page_13,0,1,ps,exact,59,60,meta,,59:60,v,v
Efik-English,page_13,0,2,va,exact,63,69,Efik,Efik:4,63:69,dum'-e,DUM'-E
Efik-English,page_13,0,3,ps,exact,71,76,meta,,71:76,v. tr,v. tr
Efik-English,page_13,0,4,ge,exact,78,113,English,English:27,78:113,to make sonorous; big; as the voice,"To make sonorous, big, as the voice"
Efik-English,page_13,0,5,xv,exact,115,132,Efik,Efik:14,115:132,odïme uyu ke itöñ,Odïme uyu ke itöñ
Efik-English,page_13,0,6,xe,exact,134,170,English,English:29,134:170,he makes his voice big in his throat,He makes his voice big in his throat
Efik-English,page_13,1,7,lx,exact,172,178,English,Efik:1;English:3,172:178,dïm'-e,DÏM'-E
Efik-English,page_13,1,8,ps,exact,180,187,meta,,180:187,v. intr,v. intr
Efik-English,page_13,1,9,ge,compact,189,221,English,English:24,189:221,to resound; be sonorous; noisy,"To resound, be sonorous, noisy"
Efik-English,page_13,1,10,xv,exact,223,242,Efik,Efik:16,223:242,ekömö odïme ke ufök,Ekömö odïme ke ufök
Efik-English,page_13,1,11,xe,exact,244,283,English,English:31,244:283,the drum makes a big noise in the house,The drum makes a big noise in the house
Efik-English,page_13,1,12,xv,exact,285,302,Efik,Efik:14,285:302,uyu odïme ke itöñ,Uyu odïme ke itöñ
Efik-English,page_13,1,13,xe,exact,304,325,English,English:18,304:325,his voice is sonorous,His voice is sonorous
Efik-English,page_13,1,14,xv,exact,327,342,Efik,Efik:13,327:342,odïme anam utüm,Odïme anam utüm
Efik-English,page_13,1,15,xe,exact,344,380,English,English:28,344:380,he works strongly; or; with a bustle,"He works strongly, or, with a bustle"
Efik-English,page_13,1,16,cf,exact,382,402,Efik,Efik:10;English:1,382:402,der. n.; udïme-ntïbi,"Der. n., Udïme-ntïbi"
Efik-English,page_13,2,17,lx,exact,404,413,Efik,Efik:6,404:413,di-ök'-hö,DI-ÖK'-HÖ
Efik-English,page_13,2,18,hm,exact,1067,1068,meta,,1067:1068,3,3
Efik-English,page_13,2,19,ps,exact,1145,1150,meta,,1145:1150,v. tr,v. tr
Efik-English,page_13,2,20,cf,exact,427,437,Efik,Efik:4,427:437,(diök. i.),(Diök. I.)
Efik-English,page_13,2,21,ge,exact,438,458,English,English:17,438:458,to irritate; incense,"To irritate, incense"
Efik-English,page_13,2,22,xv,exact,460,486,Efik,Efik:21,460:486,ikä orü ödiökhö mi ke ësët,Ikä orü ödiökhö mi ke ësët
Efik-English,page_13,2,23,xe,exact,488,510,English,English:19,488:510,that word irritates me,That word irritates me
Efik-English,page_13,2,24,xv,exact,512,537,Efik,Efik:19;English:1,512:537,ödiökhö fi ke ësët ye ami,Ödiökhö fi ke ësët ye ami
Efik-English,page_13,2,25,xe,exact,539,565,English,English:22,539:565,it incenses you against me,It incenses you against me
Efik-English,page_13,2,26,ue,exact,567,585,English,English:15,567:585,others; to surfeit,"Others, To surfeit"
Efik-English,page_13,3,27,lx,exact,587,592,Efik,Efik:4,587:592,di-ön,DI-ÖN
Efik-English,page_13,3,28,ps,exact,594,607,meta,,594:607,v. tr. & intr,v. tr. & intr
Efik-English,page_13,3,29,ge,exact,609,617,English,English:7,609:617,to climb,To climb
Efik-English,page_13,3,30,cf,exact,619,632,Efik,Efik:3,619:632,ib.; ef.; düñ,"Ib., Ef., Düñ"
Efik-English,page_13,4,31,lx,exact,634,640,Efik,Efik:4,634:640,döb'-ö,DÖB'-Ö
Efik-English,page_13,4,32,cf,exact,642,650,Efik,Efik:4;English:3,642:650,see däbä,See Däbä
Efik-English,page_13,5,33,lx,exact,652,655,Efik,Efik:3,652:655,döñ,DÖÑ
